system:index,mean_builtup,mean_growth,potential_score,.geo
00000000000000000011,0.037690569697813064,0.07608245421333092,0.06072570040712378,"{""type"":""Point"",""coordinates"":[77.69691293813221,13.010739803445862]}"
00000000000000000013,0.08407311418480613,0.031026908485200747,0.05224539076504291,"{""type"":""Point"",""coordinates"":[77.58161372012756,12.848393540250953]}"
00000000000000000027,0.11189227709675778,-0.001330698330213528,0.043958491840575,"{""type"":""Point"",""coordinates"":[77.61463169221157,13.01098675155774]}"
000000000000000000df,0.10578618516415668,-0.0014181283919002163,0.04146359703052255,"{""type"":""Point"",""coordinates"":[77.57827775262312,12.97053929805734]}"
0000000000000000003c,0.1032826668730116,-0.003710716232900444,0.03908663700946438,"{""type"":""Point"",""coordinates"":[77.55113646332467,12.964577461247556]}"
00000000000000000094,0.06149556247027802,0.02386708011637601,0.03891847305793682,"{""type"":""Point"",""coordinates"":[77.64557140356985,12.876571968602478]}"
00000000000000000037,0.08549799913119442,0.0076438102863664575,0.038785485824297646,"{""type"":""Point"",""coordinates"":[77.61683538226481,13.031233546131181]}"
0000000000000000013a,0.08969600706128403,0.002822700159413715,0.037572022920161846,"{""type"":""Point"",""coordinates"":[77.62105407183937,13.019632590962807]}"
0000000000000000003b,0.10432210999958733,-0.007891539863468827,0.03699392008175364,"{""type"":""Point"",""coordinates"":[77.6122932399186,13.012879885152588]}"
000000000000000000c9,0.0796508989914789,0.008275651648634134,0.03682575058577204,"{""type"":""Point"",""coordinates"":[77.52455933922184,12.98175729756391]}"
